product_id	slug	title	format	file_name_used	drive_file_id	preview_url_w1600	share_url
prod_sun_also_rises_annotated_ebook	the-sun-also-rises-annotated-ebook	The Sun Also Rises (Annotated)	eBook	TheSunAlsoRisesAnnotatedEbook	1RkpV03OIaBU4aOTe4LW0aBmnn06HRGt9	https://drive.google.com/thumbnail?id=1RkpV03OIaBU4aOTe4LW0aBmnn06HRGt9&sz=w1600	https://drive.google.com/file/d/1RkpV03OIaBU4aOTe4LW0aBmnn06HRGt9/view?usp=drive_link
prod_sun_also_rises_annotated_paperback	the-sun-also-rises-annotated-paperback	The Sun Also Rises (Annotated)	Paperback	TheSunAlsoRisesAnnotatedPaperback	1R0r5JQ3en_n0Vy9Kqaat_Hp6dlAb378m	https://drive.google.com/thumbnail?id=1R0r5JQ3en_n0Vy9Kqaat_Hp6dlAb378m&sz=w1600	https://drive.google.com/file/d/1R0r5JQ3en_n0Vy9Kqaat_Hp6dlAb378m/view?usp=drive_link
prod_sun_also_rises_20c_ebook	the-sun-also-rises-a-20th-century-classic-ebook	The Sun Also Rises	eBook	TheSunAlsoRises20thCenturyClassic	17e4tpG2pUBldqMA8sc-9Snxcre1957lZ	https://drive.google.com/thumbnail?id=17e4tpG2pUBldqMA8sc-9Snxcre1957lZ&sz=w1600	https://drive.google.com/file/d/17e4tpG2pUBldqMA8sc-9Snxcre1957lZ/view?usp=drive_link
prod_great_gatsby_annotated_ebook	the-great-gatsby-annotated-ebook	The Great Gatsby (Annotated)	Kindle Edition	TheGreatGatsbyAnnotated	1rI7uezZPLheoT1p6cFdSBaJVvb8ZehhZ	https://drive.google.com/thumbnail?id=1rI7uezZPLheoT1p6cFdSBaJVvb8ZehhZ&sz=w1600	https://drive.google.com/file/d/1rI7uezZPLheoT1p6cFdSBaJVvb8ZehhZ/view?usp=drive_link
prod_42_ocean_blue_ebook	42-and-the-ocean-blue-ebook	42 & The Ocean Blue	eBook	42AndTheOceanBlue	1jAEueIppa_mofZhpuhVEP_Lt3UMZxdPH	https://drive.google.com/thumbnail?id=1jAEueIppa_mofZhpuhVEP_Lt3UMZxdPH&sz=w1600	https://drive.google.com/file/d/1jAEueIppa_mofZhpuhVEP_Lt3UMZxdPH/view?usp=drive_link
prod_all_quiet_western_front_ebook	all-quiet-on-the-western-front-ebook	All Quiet on the Western Front	eBook	AllQuietOnTheWesternFront	1wZE-1Vx1IKNEuE9aXjW6uyDrUNWmnGpx	https://drive.google.com/thumbnail?id=1wZE-1Vx1IKNEuE9aXjW6uyDrUNWmnGpx&sz=w1600	https://drive.google.com/file/d/1wZE-1Vx1IKNEuE9aXjW6uyDrUNWmnGpx/view?usp=drive_link
prod_farewell_to_arms_20c_ebook	a-farewell-to-arms-a-20th-century-classic-ebook	A Farewell to Arms	eBook	AFarewellToArms20thCenturyClassic	1i_x2xNXK08wK0xKsGz83C4ZL1aPwyq62	https://drive.google.com/thumbnail?id=1i_x2xNXK08wK0xKsGz83C4ZL1aPwyq62&sz=w1600	https://drive.google.com/file/d/1i_x2xNXK08wK0xKsGz83C4ZL1aPwyq62/view?usp=drive_link
prod_once_upon_a_dream_ebook	once-upon-a-dream-ebook	Once Upon a Dream	eBook	OnceUponADream	1JtjJUJr2pPs203hRZDF59Eb0dPgFckFr	https://drive.google.com/thumbnail?id=1JtjJUJr2pPs203hRZDF59Eb0dPgFckFr&sz=w1600	https://drive.google.com/file/d/1JtjJUJr2pPs203hRZDF59Eb0dPgFckFr/view?usp=drive_link
prod_once_upon_a_dream_paperback	once-upon-a-dream-paperback	Once Upon a Dream	Paperback	OnceUponADream	1JtjJUJr2pPs203hRZDF59Eb0dPgFckFr	https://drive.google.com/thumbnail?id=1JtjJUJr2pPs203hRZDF59Eb0dPgFckFr&sz=w1600	https://drive.google.com/file/d/1JtjJUJr2pPs203hRZDF59Eb0dPgFckFr/view?usp=drive_link
